index|name|sex|age|price|level|port|surviving
1|Braund, Mr. Owen Harris|male|22.0|7.25|3|S|0
2|Cumings, Mrs. John Bradley (Florence Briggs Thayer)|female|38.0|71.2833|1|C|1
3|Heikkinen, Miss. Laina|female|26.0|7.925|3|S|1
4|Futrelle, Mrs. Jacques Heath (Lily May Peel)|female|35.0|53.1|1|S|1
5|Allen, Mr. William Henry|male|35.0|8.05|3|S|0
6|Moran, Mr. James|male||8.4583|3|Q|0
7|McCarthy, Mr. Timothy J|male|54.0|51.8625|1|S|0
8|Palsson, Master. Gosta Leonard|male|2.0|21.075|3|S|0
9|Johnson, Mrs. Oscar W (Elisabeth Vilhelmina Berg)|female|27.0|11.1333|3|S|1
10|Nasser, Mrs. Nicholas (Adele Achem)|female|14.0|30.0708|2|C|1
11|Sandstrom, Miss. Marguerite Rut|female|4.0|16.7|3|S|1
12|Bonnell, Miss. Elizabeth|female|58.0|26.55|1|S|1
13|Saundercock, Mr. William Henry|male|20.0|8.05|3|S|0
14|Andersson, Mr. Anders Johan|male|39.0|31.275|3|S|0
15|Vestrom, Miss. Hulda Amanda Adolfina|female|14.0|7.8542|3|S|0
16|Hewlett, Mrs. (Mary D Kingcome) |female|55.0|16.0|2|S|1
17|Rice, Master. Eugene|male|2.0|29.125|3|Q|0
18|Williams, Mr. Charles Eugene|male||13.0|2|S|1
19|Vander Planke, Mrs. Julius (Emelia Maria Vandemoortele)|female|31.0|18.0|3|S|0
20|Masselmani, Mrs. Fatima|female||7.225|3|C|1
21|Fynney, Mr. Joseph J|male|35.0|26.0|2|S|0
22|Beesley, Mr. Lawrence|male|34.0|13.0|2|S|1
23|"McGowan, Miss. Anna ""Annie"""|female|15.0|8.0292|3|Q|1
24|Sloper, Mr. William Thompson|male|28.0|35.5|1|S|1
25|Palsson, Miss. Torborg Danira|female|8.0|21.075|3|S|0
26|Asplund, Mrs. Carl Oscar (Selma Augusta Emilia Johansson)|female|38.0|31.3875|3|S|1
27|Emir, Mr. Farred Chehab|male||7.225|3|C|0
28|Fortune, Mr. Charles Alexander|male|19.0|263.0|1|S|0
29|"O'Dwyer, Miss. Ellen ""Nellie"""|female||7.8792|3|Q|1
30|Todoroff, Mr. Lalio|male||7.8958|3|S|0
31|Uruchurtu, Don. Manuel E|male|40.0|27.7208|1|C|0
32|Spencer, Mrs. William Augustus (Marie Eugenie)|female||146.5208|1|C|1
33|Glynn, Miss. Mary Agatha|female||7.75|3|Q|1
34|Wheadon, Mr. Edward H|male|66.0|10.5|2|S|0
35|Meyer, Mr. Edgar Joseph|male|28.0|82.1708|1|C|0
36|Holverson, Mr. Alexander Oskar|male|42.0|52.0|1|S|0
37|Mamee, Mr. Hanna|male||7.2292|3|C|1
38|Cann, Mr. Ernest Charles|male|21.0|8.05|3|S|0
39|Vander Planke, Miss. Augusta Maria|female|18.0|18.0|3|S|0
40|Nicola-Yarred, Miss. Jamila|female|14.0|11.2417|3|C|1
41|Ahlin, Mrs. Johan (Johanna Persdotter Larsson)|female|40.0|9.475|3|S|0
42|Turpin, Mrs. William John Robert (Dorothy Ann Wonnacott)|female|27.0|21.0|2|S|0
43|Kraeff, Mr. Theodor|male||7.8958|3|C|0
44|Laroche, Miss. Simonne Marie Anne Andree|female|3.0|41.5792|2|C|1
45|Devaney, Miss. Margaret Delia|female|19.0|7.8792|3|Q|1
46|Rogers, Mr. William John|male||8.05|3|S|0
47|Lennon, Mr. Denis|male||15.5|3|Q|0
48|O'Driscoll, Miss. Bridget|female||7.75|3|Q|1
49|Samaan, Mr. Youssef|male||21.6792|3|C|0
50|Arnold-Franchi, Mrs. Josef (Josefine Franchi)|female|18.0|17.8|3|S|0
51|Panula, Master. Juha Niilo|male|7.0|39.6875|3|S|0
52|Nosworthy, Mr. Richard Cater|male|21.0|7.8|3|S|0
53|Harper, Mrs. Henry Sleeper (Myna Haxtun)|female|49.0|76.7292|1|C|1
54|Faunthorpe, Mrs. Lizzie (Elizabeth Anne Wilkinson)|female|29.0|26.0|2|S|1
55|Ostby, Mr. Engelhart Cornelius|male|65.0|61.9792|1|C|0
56|Woolner, Mr. Hugh|male||35.5|1|S|1
57|Rugg, Miss. Emily|female|21.0|10.5|2|S|1
58|Novel, Mr. Mansouer|male|28.5|7.2292|3|C|0
59|West, Miss. Constance Mirium|female|5.0|27.75|2|S|1
60|Goodwin, Master. William Frederick|male|11.0|46.9|3|S|0
61|Sirayanian, Mr. Orsen|male|22.0|7.2292|3|C|0
62|Icard, Miss. Amelie|female|38.0|80.0|1||1
63|Harris, Mr. Henry Birkhardt|male|45.0|83.475|1|S|0
64|Skoog, Master. Harald|male|4.0|27.9|3|S|0
65|Stewart, Mr. Albert A|male||27.7208|1|C|0
66|Moubarek, Master. Gerios|male||15.2458|3|C|1
67|Nye, Mrs. (Elizabeth Ramell)|female|29.0|10.5|2|S|1
68|Crease, Mr. Ernest James|male|19.0|8.1583|3|S|0
69|Andersson, Miss. Erna Alexandra|female|17.0|7.925|3|S|1
70|Kink, Mr. Vincenz|male|26.0|8.6625|3|S|0
71|Jenkin, Mr. Stephen Curnow|male|32.0|10.5|2|S|0
72|Goodwin, Miss. Lillian Amy|female|16.0|46.9|3|S|0
73|Hood, Mr. Ambrose Jr|male|21.0|73.5|2|S|0
74|Chronopoulos, Mr. Apostolos|male|26.0|14.4542|3|C|0
75|Bing, Mr. Lee|male|32.0|56.4958|3|S|1
76|Moen, Mr. Sigurd Hansen|male|25.0|7.65|3|S|0
77|Staneff, Mr. Ivan|male||7.8958|3|S|0
78|Moutal, Mr. Rahamin Haim|male||8.05|3|S|0
79|Caldwell, Master. Alden Gates|male|0.83|29.0|2|S|1
80|Dowdell, Miss. Elizabeth|female|30.0|12.475|3|S|1
81|Waelens, Mr. Achille|male|22.0|9.0|3|S|0
82|Sheerlinck, Mr. Jan Baptist|male|29.0|9.5|3|S|1
83|McDermott, Miss. Brigdet Delia|female||7.7875|3|Q|1
84|Carrau, Mr. Francisco M|male|28.0|47.1|1|S|0
85|Ilett, Miss. Bertha|female|17.0|10.5|2|S|1
86|Backstrom, Mrs. Karl Alfred (Maria Mathilda Gustafsson)|female|33.0|15.85|3|S|1
87|Ford, Mr. William Neal|male|16.0|34.375|3|S|0
88|Slocovski, Mr. Selman Francis|male||8.05|3|S|0
89|Fortune, Miss. Mabel Helen|female|23.0|263.0|1|S|1
90|Celotti, Mr. Francesco|male|24.0|8.05|3|S|0
91|Christmann, Mr. Emil|male|29.0|8.05|3|S|0
92|Andreasson, Mr. Paul Edvin|male|20.0|7.8542|3|S|0
93|Chaffee, Mr. Herbert Fuller|male|46.0|61.175|1|S|0
94|Dean, Mr. Bertram Frank|male|26.0|20.575|3|S|0
95|Coxon, Mr. Daniel|male|59.0|7.25|3|S|0
96|Shorney, Mr. Charles Joseph|male||8.05|3|S|0
97|Goldschmidt, Mr. George B|male|71.0|34.6542|1|C|0
98|Greenfield, Mr. William Bertram|male|23.0|63.3583|1|C|1
99|Doling, Mrs. John T (Ada Julia Bone)|female|34.0|23.0|2|S|1
100|Kantor, Mr. Sinai|male|34.0|26.0|2|S|0
101|Petranec, Miss. Matilda|female|28.0|7.8958|3|S|0
102|"Petroff, Mr. Pastcho (""Pentcho"")"|male||7.8958|3|S|0
103|White, Mr. Richard Frasar|male|21.0|77.2875|1|S|0
104|Johansson, Mr. Gustaf Joel|male|33.0|8.6542|3|S|0
105|Gustafsson, Mr. Anders Vilhelm|male|37.0|7.925|3|S|0
106|Mionoff, Mr. Stoytcho|male|28.0|7.8958|3|S|0
107|Salkjelsvik, Miss. Anna Kristine|female|21.0|7.65|3|S|1
108|Moss, Mr. Albert Johan|male||7.775|3|S|1
109|Rekic, Mr. Tido|male|38.0|7.8958|3|S|0
110|Moran, Miss. Bertha|female||24.15|3|Q|1
111|Porter, Mr. Walter Chamberlain|male|47.0|52.0|1|S|0
112|Zabour, Miss. Hileni|female|14.5|14.4542|3|C|0
113|Barton, Mr. David John|male|22.0|8.05|3|S|0
114|Jussila, Miss. Katriina|female|20.0|9.825|3|S|0
115|Attalah, Miss. Malake|female|17.0|14.4583|3|C|0
116|Pekoniemi, Mr. Edvard|male|21.0|7.925|3|S|0
117|Connors, Mr. Patrick|male|70.5|7.75|3|Q|0
118|Turpin, Mr. William John Robert|male|29.0|21.0|2|S|0
119|Baxter, Mr. Quigg Edmond|male|24.0|247.5208|1|C|0
120|Andersson, Miss. Ellis Anna Maria|female|2.0|31.275|3|S|0
121|Hickman, Mr. Stanley George|male|21.0|73.5|2|S|0
122|Moore, Mr. Leonard Charles|male||8.05|3|S|0
123|Nasser, Mr. Nicholas|male|32.5|30.0708|2|C|0
124|Webber, Miss. Susan|female|32.5|13.0|2|S|1
125|White, Mr. Percival Wayland|male|54.0|77.2875|1|S|0
126|Nicola-Yarred, Master. Elias|male|12.0|11.2417|3|C|1
127|McMahon, Mr. Martin|male||7.75|3|Q|0
128|Madsen, Mr. Fridtjof Arne|male|24.0|7.1417|3|S|1
129|Peter, Miss. Anna|female||22.3583|3|C|1
130|Ekstrom, Mr. Johan|male|45.0|6.975|3|S|0
131|Drazenoic, Mr. Jozef|male|33.0|7.8958|3|C|0
132|Coelho, Mr. Domingos Fernandeo|male|20.0|7.05|3|S|0
133|Robins, Mrs. Alexander A (Grace Charity Laury)|female|47.0|14.5|3|S|0
134|Weisz, Mrs. Leopold (Mathilde Francoise Pede)|female|29.0|26.0|2|S|1
135|Sobey, Mr. Samuel James Hayden|male|25.0|13.0|2|S|0
136|Richard, Mr. Emile|male|23.0|15.0458|2|C|0
137|Newsom, Miss. Helen Monypeny|female|19.0|26.2833|1|S|1
138|Futrelle, Mr. Jacques Heath|male|37.0|53.1|1|S|0
139|Osen, Mr. Olaf Elon|male|16.0|9.2167|3|S|0
140|Giglio, Mr. Victor|male|24.0|79.2|1|C|0
141|Boulos, Mrs. Joseph (Sultana)|female||15.2458|3|C|0
142|Nysten, Miss. Anna Sofia|female|22.0|7.75|3|S|1
143|Hakkarainen, Mrs. Pekka Pietari (Elin Matilda Dolck)|female|24.0|15.85|3|S|1
144|Burke, Mr. Jeremiah|male|19.0|6.75|3|Q|0
145|Andrew, Mr. Edgardo Samuel|male|18.0|11.5|2|S|0
146|Nicholls, Mr. Joseph Charles|male|19.0|36.75|2|S|0
147|"Andersson, Mr. August Edvard (""Wennerstrom"")"|male|27.0|7.7958|3|S|1
148|"Ford, Miss. Robina Maggie ""Ruby"""|female|9.0|34.375|3|S|0
149|"Navratil, Mr. Michel (""Louis M Hoffman"")"|male|36.5|26.0|2|S|0
150|Byles, Rev. Thomas Roussel Davids|male|42.0|13.0|2|S|0
151|Bateman, Rev. Robert James|male|51.0|12.525|2|S|0
152|Pears, Mrs. Thomas (Edith Wearne)|female|22.0|66.6|1|S|1
153|Meo, Mr. Alfonzo|male|55.5|8.05|3|S|0
154|van Billiard, Mr. Austin Blyler|male|40.5|14.5|3|S|0
155|Olsen, Mr. Ole Martin|male||7.3125|3|S|0
156|Williams, Mr. Charles Duane|male|51.0|61.3792|1|C|0
157|"Gilnagh, Miss. Katherine ""Katie"""|female|16.0|7.7333|3|Q|1
158|Corn, Mr. Harry|male|30.0|8.05|3|S|0
159|Smiljanic, Mr. Mile|male||8.6625|3|S|0
160|Sage, Master. Thomas Henry|male||69.55|3|S|0
161|Cribb, Mr. John Hatfield|male|44.0|16.1|3|S|0
162|"Watt, Mrs. James (Elizabeth ""Bessie"" Inglis Milne)"|female|40.0|15.75|2|S|1
163|Bengtsson, Mr. John Viktor|male|26.0|7.775|3|S|0
164|Calic, Mr. Jovo|male|17.0|8.6625|3|S|0
165|Panula, Master. Eino Viljami|male|1.0|39.6875|3|S|0
166|"Goldsmith, Master. Frank John William ""Frankie"""|male|9.0|20.525|3|S|1
167|Chibnall, Mrs. (Edith Martha Bowerman)|female||55.0|1|S|1
168|Skoog, Mrs. William (Anna Bernhardina Karlsson)|female|45.0|27.9|3|S|0
169|Baumann, Mr. John D|male||25.925|1|S|0
170|Ling, Mr. Lee|male|28.0|56.4958|3|S|0
171|Van der hoef, Mr. Wyckoff|male|61.0|33.5|1|S|0
172|Rice, Master. Arthur|male|4.0|29.125|3|Q|0
173|Johnson, Miss. Eleanor Ileen|female|1.0|11.1333|3|S|1
174|Sivola, Mr. Antti Wilhelm|male|21.0|7.925|3|S|0
175|Smith, Mr. James Clinch|male|56.0|30.6958|1|C|0
176|Klasen, Mr. Klas Albin|male|18.0|7.8542|3|S|0
177|Lefebre, Master. Henry Forbes|male||25.4667|3|S|0
178|Isham, Miss. Ann Elizabeth|female|50.0|28.7125|1|C|0
179|Hale, Mr. Reginald|male|30.0|13.0|2|S|0
180|Leonard, Mr. Lionel|male|36.0|0.0|3|S|0
181|Sage, Miss. Constance Gladys|female||69.55|3|S|0
182|Pernot, Mr. Rene|male||15.05|2|C|0
183|Asplund, Master. Clarence Gustaf Hugo|male|9.0|31.3875|3|S|0
184|Becker, Master. Richard F|male|1.0|39.0|2|S|1
185|Kink-Heilmann, Miss. Luise Gretchen|female|4.0|22.025|3|S|1
186|Rood, Mr. Hugh Roscoe|male||50.0|1|S|0
187|"O'Brien, Mrs. Thomas (Johanna ""Hannah"" Godfrey)"|female||15.5|3|Q|1
188|"Romaine, Mr. Charles Hallace (""Mr C Rolmane"")"|male|45.0|26.55|1|S|1
189|Bourke, Mr. John|male|40.0|15.5|3|Q|0
190|Turcin, Mr. Stjepan|male|36.0|7.8958|3|S|0
191|Pinsky, Mrs. (Rosa)|female|32.0|13.0|2|S|1
192|Carbines, Mr. William|male|19.0|13.0|2|S|0
193|Andersen-Jensen, Miss. Carla Christine Nielsine|female|19.0|7.8542|3|S|1
194|Navratil, Master. Michel M|male|3.0|26.0|2|S|1
195|Brown, Mrs. James Joseph (Margaret Tobin)|female|44.0|27.7208|1|C|1
196|Lurette, Miss. Elise|female|58.0|146.5208|1|C|1
197|Mernagh, Mr. Robert|male||7.75|3|Q|0
198|Olsen, Mr. Karl Siegwart Andreas|male|42.0|8.4042|3|S|0
199|"Madigan, Miss. Margaret ""Maggie"""|female||7.75|3|Q|1
200|"Yrois, Miss. Henriette (""Mrs Harbeck"")"|female|24.0|13.0|2|S|0
201|Vande Walle, Mr. Nestor Cyriel|male|28.0|9.5|3|S|0
202|Sage, Mr. Frederick|male||69.55|3|S|0
203|Johanson, Mr. Jakob Alfred|male|34.0|6.4958|3|S|0
204|Youseff, Mr. Gerious|male|45.5|7.225|3|C|0
205|"Cohen, Mr. Gurshon ""Gus"""|male|18.0|8.05|3|S|1
206|Strom, Miss. Telma Matilda|female|2.0|10.4625|3|S|0
207|Backstrom, Mr. Karl Alfred|male|32.0|15.85|3|S|0
208|Albimona, Mr. Nassef Cassem|male|26.0|18.7875|3|C|1
209|"Carr, Miss. Helen ""Ellen"""|female|16.0|7.75|3|Q|1
210|Blank, Mr. Henry|male|40.0|31.0|1|C|1
211|Ali, Mr. Ahmed|male|24.0|7.05|3|S|0
212|Cameron, Miss. Clear Annie|female|35.0|21.0|2|S|1
213|Perkin, Mr. John Henry|male|22.0|7.25|3|S|0
214|Givard, Mr. Hans Kristensen|male|30.0|13.0|2|S|0
215|Kiernan, Mr. Philip|male||7.75|3|Q|0
216|Newell, Miss. Madeleine|female|31.0|113.275|1|C|1
217|Honkanen, Miss. Eliina|female|27.0|7.925|3|S|1
218|Jacobsohn, Mr. Sidney Samuel|male|42.0|27.0|2|S|0
219|Bazzani, Miss. Albina|female|32.0|76.2917|1|C|1
220|Harris, Mr. Walter|male|30.0|10.5|2|S|0
221|Sunderland, Mr. Victor Francis|male|16.0|8.05|3|S|1
222|Bracken, Mr. James H|male|27.0|13.0|2|S|0
223|Green, Mr. George Henry|male|51.0|8.05|3|S|0
224|Nenkoff, Mr. Christo|male||7.8958|3|S|0
225|Hoyt, Mr. Frederick Maxfield|male|38.0|90.0|1|S|1
226|Berglund, Mr. Karl Ivar Sven|male|22.0|9.35|3|S|0
227|Mellors, Mr. William John|male|19.0|10.5|2|S|1
228|"Lovell, Mr. John Hall (""Henry"")"|male|20.5|7.25|3|S|0
229|Fahlstrom, Mr. Arne Jonas|male|18.0|13.0|2|S|0
230|Lefebre, Miss. Mathilde|female||25.4667|3|S|0
231|Harris, Mrs. Henry Birkhardt (Irene Wallach)|female|35.0|83.475|1|S|1
232|Larsson, Mr. Bengt Edvin|male|29.0|7.775|3|S|0
233|Sjostedt, Mr. Ernst Adolf|male|59.0|13.5|2|S|0
234|Asplund, Miss. Lillian Gertrud|female|5.0|31.3875|3|S|1
235|Leyson, Mr. Robert William Norman|male|24.0|10.5|2|S|0
236|Harknett, Miss. Alice Phoebe|female||7.55|3|S|0
237|Hold, Mr. Stephen|male|44.0|26.0|2|S|0
238|"Collyer, Miss. Marjorie ""Lottie"""|female|8.0|26.25|2|S|1
239|Pengelly, Mr. Frederick William|male|19.0|10.5|2|S|0
240|Hunt, Mr. George Henry|male|33.0|12.275|2|S|0
241|Zabour, Miss. Thamine|female||14.4542|3|C|0
242|"Murphy, Miss. Katherine ""Kate"""|female||15.5|3|Q|1
243|Coleridge, Mr. Reginald Charles|male|29.0|10.5|2|S|0
244|Maenpaa, Mr. Matti Alexanteri|male|22.0|7.125|3|S|0
245|Attalah, Mr. Sleiman|male|30.0|7.225|3|C|0
246|Minahan, Dr. William Edward|male|44.0|90.0|1|Q|0
247|Lindahl, Miss. Agda Thorilda Viktoria|female|25.0|7.775|3|S|0
248|Hamalainen, Mrs. William (Anna)|female|24.0|14.5|2|S|1
249|Beckwith, Mr. Richard Leonard|male|37.0|52.5542|1|S|1
250|Carter, Rev. Ernest Courtenay|male|54.0|26.0|2|S|0
251|Reed, Mr. James George|male||7.25|3|S|0
252|Strom, Mrs. Wilhelm (Elna Matilda Persson)|female|29.0|10.4625|3|S|0
253|Stead, Mr. William Thomas|male|62.0|26.55|1|S|0
254|Lobb, Mr. William Arthur|male|30.0|16.1|3|S|0
255|Rosblom, Mrs. Viktor (Helena Wilhelmina)|female|41.0|20.2125|3|S|0
256|Touma, Mrs. Darwis (Hanne Youssef Razi)|female|29.0|15.2458|3|C|1
257|Thorne, Mrs. Gertrude Maybelle|female||79.2|1|C|1
258|Cherry, Miss. Gladys|female|30.0|86.5|1|S|1
259|Ward, Miss. Anna|female|35.0|512.3292|1|C|1
260|Parrish, Mrs. (Lutie Davis)|female|50.0|26.0|2|S|1
261|Smith, Mr. Thomas|male||7.75|3|Q|0
262|Asplund, Master. Edvin Rojj Felix|male|3.0|31.3875|3|S|1
263|Taussig, Mr. Emil|male|52.0|79.65|1|S|0
264|Harrison, Mr. William|male|40.0|0.0|1|S|0
265|Henry, Miss. Delia|female||7.75|3|Q|0
266|Reeves, Mr. David|male|36.0|10.5|2|S|0
267|Panula, Mr. Ernesti Arvid|male|16.0|39.6875|3|S|0
268|Persson, Mr. Ernst Ulrik|male|25.0|7.775|3|S|1
269|Graham, Mrs. William Thompson (Edith Junkins)|female|58.0|153.4625|1|S|1
270|Bissette, Miss. Amelia|female|35.0|135.6333|1|S|1
271|Cairns, Mr. Alexander|male||31.0|1|S|0
272|Tornquist, Mr. William Henry|male|25.0|0.0|3|S|1
273|Mellinger, Mrs. (Elizabeth Anne Maidment)|female|41.0|19.5|2|S|1
274|Natsch, Mr. Charles H|male|37.0|29.7|1|C|0
275|"Healy, Miss. Hanora ""Nora"""|female||7.75|3|Q|1
276|Andrews, Miss. Kornelia Theodosia|female|63.0|77.9583|1|S|1
277|Lindblom, Miss. Augusta Charlotta|female|45.0|7.75|3|S|0
278|"Parkes, Mr. Francis ""Frank"""|male||0.0|2|S|0
279|Rice, Master. Eric|male|7.0|29.125|3|Q|0
280|Abbott, Mrs. Stanton (Rosa Hunt)|female|35.0|20.25|3|S|1
281|Duane, Mr. Frank|male|65.0|7.75|3|Q|0
282|Olsson, Mr. Nils Johan Goransson|male|28.0|7.8542|3|S|0
283|de Pelsmaeker, Mr. Alfons|male|16.0|9.5|3|S|0
284|Dorking, Mr. Edward Arthur|male|19.0|8.05|3|S|1
285|Smith, Mr. Richard William|male||26.0|1|S|0
286|Stankovic, Mr. Ivan|male|33.0|8.6625|3|C|0
287|de Mulder, Mr. Theodore|male|30.0|9.5|3|S|1
288|Naidenoff, Mr. Penko|male|22.0|7.8958|3|S|0
289|Hosono, Mr. Masabumi|male|42.0|13.0|2|S|1
290|Connolly, Miss. Kate|female|22.0|7.75|3|Q|1
291|"Barber, Miss. Ellen ""Nellie"""|female|26.0|78.85|1|S|1
292|Bishop, Mrs. Dickinson H (Helen Walton)|female|19.0|91.0792|1|C|1
293|Levy, Mr. Rene Jacques|male|36.0|12.875|2|C|0
294|Haas, Miss. Aloisia|female|24.0|8.85|3|S|0
295|Mineff, Mr. Ivan|male|24.0|7.8958|3|S|0
296|Lewy, Mr. Ervin G|male||27.7208|1|C|0
297|Hanna, Mr. Mansour|male|23.5|7.2292|3|C|0
298|Allison, Miss. Helen Loraine|female|2.0|151.55|1|S|0
